,jmes,juno,mantra,mitosis,neutron,osmosis,phoneix,sei,symphony,tgrade,tower
jmes,1.0,0.2222,0.7609,0.2778,0.7331,0.7135,0.869,0.1756,0.2241,0.1357,0.7262
juno,0.2222,1.0,0.2456,0.2842,0.2206,0.2344,0.2322,0.25,0.2083,0.25,0.2322
mantra,0.7609,0.2456,1.0,0.2869,0.7791,0.7156,0.7103,0.1789,0.2164,0.1359,0.7227
mitosis,0.2778,0.2842,0.2869,1.0,0.2633,0.2553,0.2536,0.2483,0.2559,0.1739,0.2536
neutron,0.7331,0.2206,0.7791,0.2633,1.0,0.6146,0.6904,0.1538,0.2332,0.128,0.5863
osmosis,0.7135,0.2344,0.7156,0.2553,0.6146,1.0,0.6721,0.1447,0.2171,0.1434,0.8852
phoneix,0.869,0.2322,0.7103,0.2536,0.6904,0.6721,1.0,0.1572,0.2415,0.1388,0.6778
sei,0.1756,0.25,0.1789,0.2483,0.1538,0.1447,0.1572,1.0,0.144,0.2281,0.1485
symphony,0.2241,0.2083,0.2164,0.2559,0.2332,0.2171,0.2415,0.144,1.0,0.1203,0.2205
tgrade,0.1357,0.25,0.1359,0.1739,0.128,0.1434,0.1388,0.2281,0.1203,1.0,0.1388
tower,0.7262,0.2322,0.7227,0.2536,0.5863,0.8852,0.6778,0.1485,0.2205,0.1388,1.0
