,decogit,halbornsec-ctf,haven,hero,icplaza,jackal,ollo,side-ibc,stateset,ununifi
decogit,1.0,0.377,0.3826,0.3929,0.2628,0.3333,0.3529,0.3308,0.3673,0.1424
halbornsec-ctf,0.377,1.0,0.4425,0.4909,0.3259,0.3409,0.42,0.3969,0.4375,0.1807
haven,0.3826,0.4425,1.0,0.466,0.2656,0.3704,0.4301,0.3387,0.4494,0.1592
hero,0.3929,0.4909,0.466,1.0,0.32,0.3846,0.4667,0.3802,0.4651,0.1736
icplaza,0.2628,0.3259,0.2656,0.32,1.0,0.2718,0.3304,0.3288,0.3243,0.1667
jackal,0.3333,0.3409,0.3704,0.3846,0.2718,1.0,0.4412,0.303,0.4375,0.09
ollo,0.3529,0.42,0.4301,0.4667,0.3304,0.4412,1.0,0.3784,0.5526,0.1395
side-ibc,0.3308,0.3969,0.3387,0.3802,0.3288,0.303,0.3784,1.0,0.3738,0.1687
stateset,0.3673,0.4375,0.4494,0.4651,0.3243,0.4375,0.5526,0.3738,1.0,0.1279
ununifi,0.1424,0.1807,0.1592,0.1736,0.1667,0.09,0.1395,0.1687,0.1279,1.0
